field,latitude,longitude
1,51.679,52.55
1,47.286,39.25
1,43.143,143.55
1,46.536,21.25
1,38.25,35.75
1,53.429,82.3
1,53.179,82.3
1,51.679,39.05
1,46.286,24.5
1,52.179,42.55
1,51.679,24.05
1,53.179,27.55
1,51.429,36.05
1,48.036,40.25
1,56.821,108.25
1,57.071,62.75
1,36.0,37.0
1,52.429,82.55
1,46.286,32.5
1,51.929,34.05
1,52.929,37.8
1,46.286,16.25
1,44.143,28.3
1,52.179,52.3
1,51.929,22.3
1,51.929,67.55
1,46.286,19.25
1,47.036,131.25
1,36.5,54.75
1,45.143,18.8
1,44.643,122.3
1,52.929,34.3
1,43.393,76.8
1,38.25,101.25
1,45.393,18.3
1,53.179,92.05
1,44.893,27.05
1,37.25,35.75
1,47.786,32.0
1,57.321,47.0
1,62.464,28.05
1,43.143,47.05
1,38.25,48.5
1,44.893,41.3
1,46.286,16.5
1,47.786,26.75
1,47.286,45.5
1,51.429,39.3
1,52.929,35.3
1,47.786,42.0
1,53.679,24.55
1,51.429,45.8
1,47.036,34.25
1,61.714,66.05
1,44.393,43.8
1,52.929,34.55
1,53.179,17.05
1,47.286,16.75
1,43.893,89.8
1,37.5,37.25
1,41.893,69.55
1,52.429,68.55
1,51.679,36.8
1,44.393,24.55
1,52.179,40.05
1,62.464,24.05
1,53.679,37.3
1,36.0,50.0
1,51.429,22.3
1,47.036,29.0
1,62.214,30.55
1,41.143,47.05
1,45.393,27.05
1,52.679,54.55
1,52.679,65.55
1,52.429,80.8
1,45.143,125.8
1,42.643,120.55
1,52.429,29.55
1,53.679,27.8
1,46.286,20.5
1,57.321,48.0
1,53.179,138.8
1,62.714,27.05
1,36.0,50.5
1,52.929,46.55
1,41.393,22.8
1,51.429,60.55
1,51.929,35.3
1,44.143,88.3
1,38.25,32.25
1,47.536,46.0
1,52.429,16.8
1,51.679,61.8
1,43.893,143.8
1,37.25,67.5
1,52.429,54.55
1,43.143,141.8
1,45.143,36.8
1,43.643,118.3
1,48.036,38.5
1,46.536,126.0
1,46.286,132.5
1,62.714,21.55
1,57.821,48.0
1,56.821,37.75
1,47.536,16.5
1,44.893,78.3
1,47.036,42.0
1,47.536,131.25
1,36.0,40.5
1,47.286,36.75
1,52.929,15.05
1,43.893,144.3
1,48.036,38.25
1,53.179,16.3
1,52.929,23.8
1,47.036,132.25
1,53.179,36.05
1,36.75,53.75
1,53.429,59.55
1,51.429,19.3
1,57.821,51.75
1,62.214,22.3
1,38.0,32.75
1,52.679,77.55
1,52.179,79.55
1,52.429,65.3
1,51.679,69.55
1,43.143,45.55
1,45.393,27.8
1,51.679,15.3
1,57.071,36.75
1,43.143,60.55
1,37.0,42.25
1,53.179,31.55
1,44.393,134.3
1,51.929,52.3
1,57.821,26.0
1,57.821,40.0
1,53.429,22.3
1,52.429,42.55
1,52.179,21.3
1,52.679,54.3
1,62.714,29.8
1,51.429,53.8
1,37.25,35.5
1,52.429,45.05
1,43.143,143.3
1,48.036,22.25
1,36.5,40.75
1,52.429,31.3
1,46.786,131.5
1,47.536,124.25
1,52.429,54.3
1,41.393,27.3
1,42.643,120.3
1,53.429,60.8
1,53.679,29.8
1,51.679,56.8
1,52.679,19.55
1,53.179,78.55
1,52.679,37.8
1,51.429,17.8
1,42.643,143.3
1,44.393,42.05
1,52.179,65.05
1,37.25,49.5
1,56.571,41.0
1,52.429,38.8
1,56.821,49.5
1,52.929,31.3
1,52.179,28.05
1,46.286,28.25
1,46.286,48.0
1,47.786,28.5
1,44.643,86.55
1,51.429,56.3
1,38.5,125.5
1,44.643,125.3
1,51.429,38.05
1,43.643,26.8
1,47.786,133.5
1,47.786,30.75
1,52.429,32.3
1,42.393,122.05
1,42.393,24.8
1,51.929,51.05
1,57.821,50.75
1,51.679,31.8
1,48.036,17.25
1,53.679,24.8
1,37.5,39.0
1,53.429,60.05
1,52.929,41.55
1,46.536,34.75
1,47.286,32.0
1,36.25,140.0
1,47.786,28.0
1,53.179,37.3
1,53.179,24.3
1,53.179,65.8
1,46.786,34.75
1,43.393,117.05
1,44.143,43.3
1,46.286,125.0
1,44.643,42.55
1,47.536,21.5
1,56.571,57.0
1,51.679,37.55
1,47.286,19.5
1,53.179,69.8
1,57.821,45.25
1,45.143,36.05
1,38.0,40.75
1,53.429,85.05
1,37.75,62.5
1,47.786,39.75
1,52.679,55.3
1,44.143,87.55
1,45.393,33.55
1,52.179,26.55
1,52.179,58.8
1,44.893,84.8
1,46.786,30.5
1,52.179,18.55
1,37.0,46.5
1,53.679,40.05
1,47.536,35.5
1,47.286,30.75
1,46.536,41.5
1,47.536,132.0
1,47.536,42.75
1,46.286,35.0
1,47.786,39.0
1,52.679,78.8
1,45.143,44.3
1,52.679,75.8
1,45.393,16.55
1,45.143,34.05
1,51.929,38.05
1,53.429,69.55
1,52.179,85.05
1,47.036,124.5
1,45.393,33.8
1,46.536,38.25
1,51.429,55.55
1,52.679,50.8
1,47.036,125.75
1,47.536,38.25
1,51.679,60.05
1,36.25,42.0
1,56.571,50.5
1,37.75,34.5
1,48.036,30.75
1,53.179,50.8
1,52.929,34.8
1,56.821,26.25
1,47.786,40.5
1,52.179,22.05
1,42.143,25.55
1,51.429,31.55
1,53.179,24.55
1,46.786,35.75
1,51.429,30.55
1,51.679,66.3
1,51.929,76.55
1,46.536,83.5
1,51.429,112.55
1,52.929,61.3
1,43.143,144.8
